Date,Gemini,GDAX,Coinbase,Kraken,Poloniex,Bitstamp
2017-11-29 09-PM,9582.09,9651.99,9651.99,9366.3,9964,9964
2017-11-29 08-PM,10015.88,9696.24,9696.24,9813.6,9300.01,9300.01
2017-11-29 07-PM,10392.87,10381.31,10381.31,9200,10320.01,10320.01
2017-11-29 06-PM,10603.07,10689.99,10689.99,10401,10561.71,10561.71
2017-11-29 05-PM,10821.34,10805.27,10805.27,10758,10800,10800
2017-11-29 04-PM,10831.72,10899,10899,10660,10819.12,10819.12
2017-11-29 03-PM,11181.54,11227.44,11227.44,11130,11154.93,11154.93
2017-11-29 02-PM,11199.99,11260.66,11260.66,11151.2,11220,11220
2017-11-29 01-PM,10875.87,10931.19,10931.19,10960,10881.77,10881.77
2017-11-29 12-PM,10803.83,10911.81,10911.81,10745.3,10770.24,10770.24
2017-11-29 11-AM,10847.86,10941.69,10941.69,10732,10843,10843
2017-11-29 10-AM,10718.84,10850,10850,10720.2,10709.96,10709.96
2017-11-29 09-AM,10615,10727,10727,10576,10629.19,10629.19
2017-11-29 08-AM,10553.47,10596.98,10596.98,10500,10508.02,10508.02
2017-11-29 07-AM,10391.93,10425,10425,10283.7,10301.36,10301.36
2017-11-29 06-AM,10103.62,10103.01,10103.01,10151.3,10083.99,10083.99
2017-11-29 05-AM,10492.86,10497,10497,10411.4,10424.95,10424.95
2017-11-29 04-AM,10310.04,10325,10325,10001.1,10263.96,10263.96
2017-11-29 03-AM,10185.49,10189.99,10189.99,9960,10124.01,10124.01
2017-11-29 02-AM,10042.42,10083.39,10083.39,9900,9996.7,9996.7
2017-11-29 01-AM,9970,9961.51,9961.51,9855.5,9900,9900
2017-11-29 12-AM,9941.7,9949,9949,9800,9868.82,9868.82
2017-11-28 11-PM,9943.81,9948.75,9948.75,9856.1,9910.48,9910.48
2017-11-28 10-PM,9975.72,9968.79,9968.79,9850,9938.99,9938.99
2017-11-28 09-PM,9880.23,9926,9926,9800,9862.4,9862.4
2017-11-28 08-PM,9949.99,9985,9985,9875,9948.99,9948.99
2017-11-28 07-PM,9948.85,9989.18,9989.18,9885,9949.37,9949.37
2017-11-28 06-PM,9919.97,9966.83,9966.83,9847.5,9920,9920
2017-11-28 05-PM,9920,9938.94,9938.94,9818.9,9910,9910
2017-11-28 04-PM,9900,9935,9935,9819.6,9899,9899
2017-11-28 03-PM,9909.73,9949,9949,9819,9899.9,9899.9
2017-11-28 02-PM,9836.52,9886.76,9886.76,9727,9796.77,9796.77
2017-11-28 01-PM,9890.51,9967,9967,9780,9877,9877
2017-11-28 12-PM,9919.43,9949,9949,9750,9910,9910
2017-11-28 11-AM,9865,9923.79,9923.79,9744.9,9863.88,9863.88
2017-11-28 10-AM,9873.94,9890.01,9890.01,9740.1,9874.23,9874.23
2017-11-28 09-AM,9846.79,9899.01,9899.01,9730,9850,9850
2017-11-28 08-AM,9885.77,9925.01,9925.01,9748.7,9860,9860
2017-11-28 07-AM,9866.44,9904.9,9904.9,9747,9843.37,9843.37
2017-11-28 06-AM,9870,9892.86,9892.86,9700,9857.92,9857.92
2017-11-28 05-AM,9823,9799.98,9799.98,9633.6,9777,9777
2017-11-28 04-AM,9717.97,9749.9,9749.9,9570.4,9699.98,9699.98
2017-11-28 03-AM,9668.46,9708.82,9708.82,9535.9,9631.25,9631.25
2017-11-28 02-AM,9716.45,9758,9758,9532.1,9660,9660
2017-11-28 01-AM,9720.85,9748.99,9748.99,9570.9,9678.39,9678.39
2017-11-28 12-AM,9763.44,9768.71,9768.71,9580,9708.07,9708.07
2017-11-27 11-PM,9685.85,9692.16,9692.16,9530,9626.1,9626.1
2017-11-27 10-PM,9654.02,9675,9675,9502.5,9638.79,9638.79
2017-11-27 09-PM,9592.87,9624.51,9624.51,9490.9,9569.39,9569.39
2017-11-27 08-PM,9541.92,9555.1,9555.1,9461.5,9514,9514
2017-11-27 07-PM,9530,9589.01,9589.01,9450.9,9499.96,9499.96
2017-11-27 06-PM,9581.12,9600,9600,9450,9558.97,9558.97
2017-11-27 05-PM,9579.81,9603.15,9603.15,9500,9560,9560
2017-11-27 04-PM,9663.3,9679.51,9679.51,9507,9649.99,9649.99
2017-11-27 03-PM,9618.96,9688.21,9688.21,9575,9610.01,9610.01
2017-11-27 02-PM,9637,9693,9693,9575,9619,9619
2017-11-27 01-PM,9608.8,9711.26,9711.26,9604.8,9615,9615
2017-11-27 12-PM,9619.28,9770,9770,9551,9606.18,9606.18
2017-11-27 11-AM,9583.24,9759,9759,9450,9561.99,9561.99
2017-11-27 10-AM,9435,9702.99,9702.99,9389.5,9440.55,9440.55
2017-11-27 09-AM,9722.21,9773.29,9773.29,9625,9714.99,9714.99
2017-11-27 08-AM,9674.5,9749.4,9749.4,9535.5,9599,9599
2017-11-27 07-AM,9650,9705.05,9705.05,9501,9531.89,9531.89
2017-11-27 06-AM,9648.01,9710,9710,9488.1,9524.92,9524.92
2017-11-27 05-AM,9689,9739,9739,9504.2,9550.01,9550.01
2017-11-27 04-AM,9591.6,9675,9675,9467,9466.04,9466.04
2017-11-27 03-AM,9590.01,9680.91,9680.91,9481,9420,9420
2017-11-27 02-AM,9676.74,9686.99,9686.99,9486.1,9554.99,9554.99
2017-11-27 01-AM,9561.99,9558.39,9558.39,9349,9499.58,9499.58
2017-11-27 12-AM,9304.19,9401.11,9401.11,9174.3,9271.06,9271.06
2017-11-26 11-PM,9327.19,9429.65,9429.65,9226,9235.08,9235.08
2017-11-26 10-PM,9343.11,9434.99,9434.99,9195.1,9223.84,9223.84
2017-11-26 09-PM,9312.91,9428.02,9428.02,9150.2,9139.99,9139.99
2017-11-26 08-PM,9277.68,9341.57,9341.57,9100,9155,9155
2017-11-26 07-PM,9460.01,9594.97,9594.97,9363.9,9350.45,9350.45
